freq_index,length of patch,width of patch,height of patch,height of substrate,height of solder resist layer,radius of the probe,c_pad,c_antipad,c_probe,dielectric constant of substrate,dielectric constant of solder resist layer
146,0.03370102424526689,0.02423183716351713,0.0009117834455338284,0.01114024629640342,0.0016798698042162616,0.0015016163314752911,0.0002947950466948362,0.00047397580164581984,0.006680874163238563,0.023826850290915268,0.002413740502068059
147,0.03254700418728501,0.024150818141538705,0.0008909863730271658,0.011057031540135246,0.0016423945699758197,0.0014936477872566204,0.00028818274445053355,0.00046857089656798996,0.006587177366759647,0.023607297916317462,0.002354459864879722
148,0.0316970413597069,0.0244465639342123,0.000877919611497898,0.011020739280169283,0.0016274643848784528,0.0014854438825329737,0.0002844804221421332,0.0004609576634951492,0.0066267144472444825,0.02348162463648402,0.002318629207302682
149,0.03124742069054599,0.024542371431986492,0.0008614297715289083,0.011037059832568192,0.0016156638513750105,0.0015071782825598077,0.00028906128744580855,0.0004597974672394605,0.006819893768177696,0.023338786701657878,0.0022818003572634797
150,0.03039705990558833,0.02419415427677667,0.0008546221463834468,0.010992106365327218,0.0015870095485478492,0.0015065508769519294,0.000288882334508113,0.00045545307446771593,0.006916805360447708,0.022708623860012832,0.0022204134668876874
151,0.02931640931029818,0.023984978448099166,0.0008667301553398816,0.011112843431643586,0.0015648664600813567,0.0015312681595484416,0.00029137947443705884,0.0004544270998654674,0.007074342660642975,0.022179354186081766,0.002181528108333474
152,0.029180187491042103,0.024134627622158372,0.000874576339525963,0.011153764096065541,0.0015525799707986822,0.0015780672579262388,0.00028792619983206933,0.0004703410488752583,0.007235759378072634,0.022432228225973707,0.002180547856572849
153,0.02964944685276468,0.025274269616425926,0.0009079715283355903,0.011383331533688219,0.0015889192695048317,0.001625299342532656,0.0002905924234594872,0.0004887477175068499,0.007442274496923039,0.023297843648426568,0.002254705005024203
154,0.029847887618031668,0.025675320506688967,0.0009273503957992762,0.011650564658701124,0.0016186806693005917,0.0016367836526377283,0.00028662469275110396,0.0005004755059136681,0.0074514023848433995,0.023592177908218916,0.002277869267843256
155,0.03098986516544475,0.026557388590342963,0.0009664566770418366,0.011996097825652925,0.0016953339846573065,0.0016734362834721656,0.0002920151831795327,0.0005144459654146166,0.007532535649057644,0.02445330163139609,0.0023652923418514766
156,0.03087931485911507,0.02677652136010317,0.0009738810508701932,0.012161173185898889,0.0017183129467181306,0.0016814676386799979,0.00028793932175013556,0.0005200721175219882,0.007511042985156994,0.02449935378126837,0.0023715889350098755
157,0.030823549227928047,0.026946108139569488,0.0009795852950704631,0.012312385869856498,0.001734762308905967,0.001692865099479903,0.0002895506163734702,0.0005204897485117414,0.00751381941992252,0.02444089912063447,0.0023725116208418093
158,0.031240657194336847,0.026957841654915122,0.0009854014277161651,0.012452151051801235,0.0017540660218812933,0.0017055763459917325,0.0002903119053932565,0.0005289056797080965,0.007505913204814664,0.02444725457708634,0.0023733277744914763
159,0.03214888311737212,0.02731413271889758,0.0009898711088581465,0.012496654667071443,0.0017907500118758547,0.001736466786754665,0.00029818807723955136,0.0005377772361484926,0.00757695260036051,0.02483358845781924,0.0023924776200038283
160,0.03237088284089198,0.027198377829879078,0.0009825009370769435,0.012367279375370462,0.0017897672580545814,0.0017473898568556676,0.000300059715906779,0.0005462934721761675,0.007569298296425473,0.024843977161900913,0.0023689576938970766
161,0.032095219958480914,0.02681538240233464,0.0009746190938931793,0.012054799356270785,0.0017813763845322737,0.001745604275174402,0.00029647373478507524,0.0005370002999827636,0.007452111932175669,0.024434186629394988,0.0023222874794433367
162,0.03149019426374293,0.026532574969144605,0.0009630642349447184,0.011877290051967944,0.001760453597378375,0.0017558388893877095,0.00029464196691762155,0.0005339342377968688,0.007382625741745109,0.024037895807579382,0.002274356597098545
